,Bairro,Distrito
878,Jardim Marabá,Parque do Carmo
880,Chácara Pouso Alegre,Santo Amaro
881,Vila Borges,Raposo Tavares
882,Brooklin Paulista,Campo Belo
883,Vila Friburgo,Socorro
884,Vila Cachoeira,Tucuruvi
885,Vila Ida,Alto de Pinheiros
886,Jardim Kika,Cidade Dutra
887,Jardim Uirapuru,Raposo Tavares
888,Vila Dona Augusta,Tremembé
889,Vila Mirim,Ponte Rasa
890,Vila Leme,Água Rasa
891,Vila Cordeiro,Itaim Bibi
892,Pérola Vitória,Cidade Tiradentes
893,Chácara Flora,Santo Amaro
894,Vila Santa Teresinha,Tucuruvi
895,Jardim Joamar,Tremembé
896,Parque Santa Rita,Vila Curuçá
897,Piqueri,Pirituba
898,Jardim Ligia,Alto de Pinheiros
899,Jardim Ellus,Grajaú
900,Jardim Nova Guaianases,Lajeado
901,Parque Rebouças,Campo Limpo
902,Jardim Samara,Grajaú
904,Vila Belo Horizonte,Cangaíba
905,Jardim Itatiáia,Grajaú
906,Parque Dom João Neri,Vila Curuçá
907,Jardim Consórcio,Campo Grande
908,Jardim Recanto Verde,Tremembé
909,Jardim dos Jacarandás,Alto de Pinheiros
910,Vila Maringá,Capão Redondo
911,Vila Maria Amália,Penha
912,Jardim Azano II,Tremembé
913,Jardim dos Ipês,Vila Curuçá
914,Jardim Jordanópolis,Cidade Dutra
915,Jardim da Campina,Campo Grande
916,Vila Paulina,Água Rasa
917,Parque Boa Esperança,Iguatemi
918,Jardim Sônia Inga,Capão Redondo
919,Jardim Colonial,Cidade Dutra
920,Vila Alóis,Vila Prudente
921,Jardim Regina,Sapopemba
922,Jardim Itatinga,Mandaqui
923,Jardim Santa Rita,Cidade Dutra
924,Jardim da Glória,Vila Mariana
925,Vila Moinho Velho,Sacomã
927,Jardim Rio Pequeno,Rio Pequeno
928,Vila Maria Eugênia,São Domingos
929,Jardim Belcito,Grajaú
930,Vila Esther,Rio Pequeno
931,Parque Morro Doce,Anhanguera
932,Jardim Glória,Vila Mariana
933,Parque São Miguel,Grajaú
934,Barragem,Parelheiros
935,Jardim Tanay,Grajaú
936,Bosque da Saúde,Cursino
